name,category,alcoholic,ingredients,desc
Affinity,Ordinary Drink,Alcoholic,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Orange bitters']","""Affinity: A sophisticated blend of Scotch, sweet and dry vermouth, and a hint of orange bitters, crafting a rich, complex harmony in every sip."""
Aviation,Cocktail,Alcoholic,"['Gin', 'lemon juice', 'maraschino liqueur']","""Aviation: A classic, crisp cocktail blending gin, lemon juice, and maraschino liqueur, evoking the thrill of flight in every sip."""
After sex,Ordinary Drink,Alcoholic,"['Vodka', 'Creme de Banane', 'Orange juice']","Indulge in the seductive 'After Sex', a tantalizing blend of vodka, creamy Creme de Banane, and juicy orange juice, guaranteed to leave you breathless."
Applejack,Cocktail,Alcoholic,"['Jack Daniels', 'Midori melon liqueur', 'Sour mix']","""Indulge in the Applejack, a tantalizing blend of Jack Daniels, Midori melon liqueur, and sour mix, combining whiskey warmth with a sweet and tangy twist."""
Afterglow,Cocktail,Non alcoholic,"['Grenadine', 'Orange juice', 'Pineapple juice']","Afterglow: A vibrant, fruit-infused blend of grenadine, orange, and pineapple juices, evoking a warm sunset in every sip."
Afternoon,Coffee / Tea,Alcoholic,"['Kahlua', 'Baileys irish cream', 'Frangelico', 'Coffee', 'Cream']","""Indulge in the 'Afternoon', a rich and velvety blend of Kahlua, Baileys Irish Cream, and Frangelico, infused with the deep flavors of coffee and topped with a luxurious cream, perfect for a sophisticated escape."""
Alexander,Ordinary Drink,Alcoholic,"['Gin', 'Creme de Cacao', 'Light cream', 'Nutmeg']","""Indulge in the Alexander, a rich and velvety cocktail blending gin, decadent Creme de Cacao, and light cream, finished with a warm hint of nutmeg."""
Autodafé,Ordinary Drink,Alcoholic,"['Vodka', 'Lime juice', 'Soda water']","""Autodafé: Ignite your senses with this refreshing blend of vodka, zesty lime juice, and crisp soda water, a fiery fusion that will leave you wanting more."""
Allegheny,Ordinary Drink,Alcoholic,"['Dry Vermouth', 'Bourbon', 'Blackberry brandy', 'Lemon juice', 'Lemon peel']","Allegheny: A twist of citrus and sweetness, this bourbon-based cocktail blends dry vermouth, blackberry brandy, and a squeeze of lemon, finished with a hint of lemon peel."
Americano,Ordinary Drink,Alcoholic,"['Campari', 'Sweet Vermouth', 'Lemon peel', 'Orange peel']","""Indulge in the Americano, a classic blend of bitter Campari and sweet Vermouth, garnished with a twist of citrusy lemon and orange peels, perfect for a sophisticated sip."""
B-52,Shot,Alcoholic,"['Baileys irish cream', 'Grand Marnier', 'Kahlua']","""Indulge in the B-52, a rich and velvety shot of Baileys Irish Cream, Grand Marnier, and Kahlua, layered to perfection for a decadent and indulgent treat."""
B-53,Shot,Alcoholic,"['Kahlua', 'Sambuca', 'Grand Marnier']","""Unleash the B-53: a bold, triple-threat shot of Kahlua, Sambuca, and Grand Marnier, blending rich coffee, anise, and citrus flavors in a single, electrifying sip."""
Bijou,Cocktail,Alcoholic,"['Orange Bitters', 'Green Chartreuse', 'Gin', 'Sweet Vermouth']","Bijou: A classic, emerald-green cocktail blending gin, sweet vermouth, and Green Chartreuse, subtly balanced by orange bitters, creating a complex and refreshing sip."
Boxcar,Ordinary Drink,Alcoholic,"['Gin', 'Triple sec', 'Lemon juice', 'Grenadine', 'Egg white']","""Boxcar: A velvety gin cocktail, infused with citrus and subtle sweetness, where triple sec and grenadine harmonize, topped with a silky egg white foam."""
Big Red,Shot,Alcoholic,"['Irish cream', 'Goldschlager']","""Big Red: A fiery shot of Irish cream and Goldschlager, blending rich velvet smoothness with a cinnamon-spiced kick."""
Bellini,Ordinary Drink,Alcoholic,"['Champagne', 'Peach schnapps']","Indulge in the Bellini, a sweet and sophisticated blend of Champagne and peach schnapps, bursting with juicy peach flavors and a hint of bubbly elegance."
Bramble,Ordinary Drink,Alcoholic,"['Gin', 'lemon juice', 'Sugar syrup', 'Creme de Mure']","""Bramble: A thorny twist on classic gin, infused with tart lemon, sweet sugar syrup, and rich blackberry Creme de Mure, creating a dark, fruity, and mysteriously alluring cocktail."""
Balmoral,Ordinary Drink,Alcoholic,"['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Bitters']","""Balmoral: A refined blend of Scotch, sweet and dry vermouth, and a hint of bitters, crafting a sophisticated, smoky cocktail with subtle complexity."""
Bluebird,Ordinary Drink,Alcoholic,"['Gin', 'Triple sec', 'Blue Curacao', 'Bitters', 'Maraschino cherry', 'Lemon peel']","""Bluebird: A vibrant, gin-based cocktail, infused with the sweetness of triple sec and the mysterious allure of Blue Curacao, balanced by subtle bitters and garnished with a maraschino cherry and lemon peel, evoking a refreshing summer sky."""
Brooklyn,Cocktail,Alcoholic,"['Rye Whiskey', 'Dry Vermouth', 'Maraschino Liqueur', 'Angostura Bitters', 'Maraschino Cherry']","""Brooklyn: A classic blend of Rye Whiskey, Dry Vermouth, and Maraschino Liqueur, finished with a hint of Angostura Bitters and garnished with a rich Maraschino Cherry, evoking the spirit of New York City's iconic borough."""
Bora Bora,Cocktail,Non alcoholic,"['Pineapple juice', 'Passion fruit juice', 'Lemon juice', 'Grenadine']","""Escape to a tropical paradise with Bora Bora, a refreshing blend of pineapple, passion fruit, and lemon juices, sweetly kissed with grenadine, creating a fruity and revitalizing non-alcoholic oasis."""
Boomerang,Ordinary Drink,Alcoholic,"['Gin', 'Dry Vermouth', 'Bitters', 'Maraschino liqueur', 'Maraschino cherry']","""Boomerang: A classic twist of gin, dry vermouth, and bitters, sweetly rounded with maraschino liqueur, garnished with a cherry that will draw you back in."""
Barracuda,Ordinary Drink,Alcoholic,"['Rum', 'Galliano', 'Pineapple Juice', 'Lime Juice', 'Prosecco']","""Dive into the Barracuda, a refreshing oceanic blend of rum, Galliano, pineapple, and lime, topped with a splash of Prosecco for a fizzy twist."""
Brigadier,Cocktail,Alcoholic,"['Hot Chocolate', 'Green Chartreuse', 'Cherry Heering']","""Indulge in the Brigadier, a rich and decadent blend of hot chocolate, infused with the herbal complexity of Green Chartreuse and the fruity depth of Cherry Heering, perfect for warming the senses on a chilly night."""
Broadside,Cocktail,Alcoholic,"['151 proof rum', 'Scotch', 'Bitters', 'Wormwood', 'Ice']","""Unleash the Broadside: a potent, naval-inspired blend of 151 proof rum, smoky Scotch, and mysterious wormwood, anchored by bitters and chilled to perfection over ice."""
Buccaneer,Beer,Alcoholic,"['Corona', 'Bacardi Limon']","""Set sail with the Buccaneer, a refreshing mix of Corona beer and Bacardi Limon, blending citrusy zest with a hint of tropical adventure."""
Brain Fart,Punch / Party Drink,Alcoholic,"['Everclear', 'Vodka', 'Mountain Dew', 'Surge', 'Lemon juice', 'Rum']","""Brain Fart: A electrifying shot that will short-circuit your senses, combining Everclear, Vodka, Rum, and a citrus kick, all fueled by a sweet and sour Mountain Dew and Surge rush."""
Blackthorn,Ordinary Drink,Alcoholic,"['Sweet Vermouth', 'Sloe gin', 'Lemon peel']","""Indulge in the Blackthorn, a dark and mysterious blend of Sloe gin, Sweet Vermouth, and citrusy lemon peel, evoking the allure of a midnight forest."""
Bob Marley,Shot,Alcoholic,"['Midori melon liqueur', 'Jägermeister', 'Goldschlager']","""Get irie with the Bob Marley, a rebellious blend of Midori melon liqueur, Jägermeister, and Goldschlager, igniting a fiery fusion of sweet and bold flavors that'll have you jamming to the beat."""
Bible Belt,Other / Unknown,Alcoholic,"['Southern Comfort', 'Triple sec', 'Lime', 'Sour mix']","""Experience the sultry South with the Bible Belt, a tantalizing blend of Southern Comfort, Triple Sec, fresh lime, and a hint of sour mix, evoking the warm, whiskey-kissed nights of the American heartland."""
Bubble Gum,Shot,Alcoholic,"['Vodka', 'Banana liqueur', 'Orange juice', 'Peach schnapps']","""Indulge in Bubble Gum, a sweet and fruity cocktail blending vodka, banana liqueur, orange juice, and peach schnapps, evoking the nostalgic taste of childhood treats with a grown-up twist."""
Bumble Bee,Shot,Alcoholic,"['Baileys irish cream', 'Kahlua', 'Sambuca']","""Bumble Bee: A sweet and stingingly smooth blend of Baileys Irish Cream, Kahlua, and Sambuca, buzzing with rich, velvety flavors."""
Baby Eskimo,Shake,Alcoholic,"['Kahlua', 'Milk', 'Vanilla ice-cream']","""Wrap up in the creamy warmth of the Baby Eskimo, a rich blend of Kahlua, milk, and velvety vanilla ice cream, perfect for a chilly night in."""
Boston Sour,Ordinary Drink,Alcoholic,"['Blended whiskey', 'Lemon', 'Powdered sugar', 'Egg white', 'Lemon', 'Cherry']","Indulge in the Boston Sour, a tangy blend of blended whiskey, lemon, and powdered sugar, velvety-smooth with egg white, garnished with a cherry and a squeeze of lemon."
Bahama Mama,Cocktail,Alcoholic,"['Rum', 'Dark Rum', 'Banana liqueur', 'Grenadine', 'Pineapple Juice', 'Orange Juice', 'Sweet and Sour']","""Escape to the islands with the Bahama Mama, a tropical blend of rum, dark rum, and sweet flavors, featuring banana liqueur, grenadine, and a mix of pineapple and orange juices, all balanced with a hint of sweet and sour."""
Casino,Ordinary Drink,Alcoholic,"['Gin', 'Maraschino liqueur', 'Lemon juice', 'Orange bitters', 'Cherry']","""Roll the dice with Casino, a classic cocktail blending gin, maraschino liqueur, and lemon juice, finished with a hint of orange bitters and garnished with a cherry, for a taste of luck and sophistication."""
Cafe Savoy,Coffee / Tea,Alcoholic,"['Coffee', 'Milk', 'Triple sec', 'Brandy']","Indulge in the Cafe Savoy, a rich and velvety blend of coffee and milk, infused with the subtle sweetness of triple sec and the warmth of brandy, creating a decadent twist on a classic coffee cocktail."
Caipirinha,Ordinary Drink,Alcoholic,"['Sugar', 'Lime', 'Cachaca']","""Indulge in the Caipirinha, a classic Brazilian cocktail blending rich Cachaca with zesty lime and a touch of sugar, creating a refreshing and invigorating taste experience."""
Cream Soda,Cocktail,Alcoholic,"['Spiced rum', 'Ginger ale']","""Indulge in our Cream Soda, a velvety twist on a classic, blending rich spiced rum with crisp ginger ale for a smooth, warming delight."""
Cuba Libra,Ordinary Drink,Alcoholic,"['Dark rum', 'Lime', 'Coca-Cola', 'Ice']","""Indulge in the Cuba Libra, a refreshing blend of dark rum, zesty lime, and rich Coca-Cola, served chilled over ice for a classic twist on a tropical getaway."""
Cherry Rum,Ordinary Drink,Alcoholic,"['Light rum', 'Cherry brandy', 'Light cream']","Indulge in Cherry Rum, a rich and velvety blend of light rum, cherry brandy, and light cream, bursting with sweet cherry flavors and a hint of tropical warmth."
Cuba Libre,Ordinary Drink,Alcoholic,"['Light rum', 'Lime', 'Coca-Cola']","""Escape to the islands with Cuba Libre, a refreshing blend of light rum, zesty lime, and rich Coca-Cola, perfect for warm nights and lively spirits."""
Corn n Oil,Cocktail,Alcoholic,"['Lime', 'Falernum', 'Angostura Bitters', 'Añejo rum', 'blackstrap rum']","""Indulge in the Corn n Oil, a rich and velvety blend of Añejo and blackstrap rums, infused with the subtle sweetness of falernum, the tang of lime, and a hint of spice from Angostura Bitters, creating a smooth, complex cocktail with a deep, satisfying finish."""
Citrus Coke,Soft Drink,Alcoholic,"['Bacardi Limon', 'Coca-Cola']","""Zesty twist on a classic, Citrus Coke combines Bacardi Limon with Coca-Cola for a refreshing, citrus-kissed cocktail."""
Casa Blanca,Ordinary Drink,Alcoholic,"['Light rum', 'Triple sec', 'Lime juice', 'Maraschino liqueur']","""Casa Blanca: A refreshing twist of light rum, triple sec, and lime juice, subtly sweetened with maraschino liqueur, evoking a tropical escape in every sip."""
Clover Club,Ordinary Drink,Alcoholic,"['Gin', 'Grenadine', 'Lemon', 'Egg white']","Indulge in the Clover Club, a silky smooth gin cocktail infused with sweet grenadine, zesty lemon, and velvety egg white, creating a refreshing and fruity twist on a classic mix."
Caipirissima,Ordinary Drink,Alcoholic,"['Lime', 'Sugar', 'White rum', 'Ice']","""Caipirissima: A refreshing twist on the classic, blending zesty lime, sweet sugar, and crisp white rum, chilled to perfection over ice."""
City Slicker,Ordinary Drink,Alcoholic,"['Brandy', 'Triple sec', 'Lemon juice']","""City Slicker: A sophisticated blend of brandy, triple sec, and lemon juice, perfect for urban nights and refined tastes."""
Campari Beer,Beer,Alcoholic,"['Lager', 'Campari']","""Bitter meets brew in our Campari Beer, a bold blend of crisp lager and rich Campari, perfect for those who dare to mix it up."""
Chicago Fizz,Ordinary Drink,Alcoholic,"['Light rum', 'Port', 'Lemon', 'Powdered sugar', 'Egg white', 'Carbonated water']","""Indulge in the Chicago Fizz, a classic cocktail blending light rum, rich Port, and zesty lemon, smoothed by powdered sugar and silky egg white, topped with a refreshing fizz of carbonated water."""
Cosmopolitan,Cocktail,Alcoholic,"['Vodka', 'Lime juice', 'Cointreau', 'Cranberry juice']","""Indulge in the Cosmopolitan, a sophisticated blend of vodka, lime juice, Cointreau, and cranberry juice, crafting a fruity and tangy cocktail with a hint of citrus elegance."""
Coffee-Vodka,Homemade Liqueur,Alcoholic,"['Water', 'Sugar', 'Coffee', 'Vanilla', 'Vodka', 'Caramel coloring']","""Rich espresso meets velvety vodka in this decadent Coffee-Vodka, infused with hints of sweet vanilla and a deep, caramel hue."""
Casino Royale,Ordinary Drink,Alcoholic,"['Gin', 'Lemon juice', 'Maraschino liqueur', 'Orange bitters', 'Egg yolk']","""Indulge in the sophisticated Casino Royale, a rich and velvety gin cocktail infused with zesty lemon, subtle maraschino sweetness, and a hint of orange bitters, all bound together by a luxurious egg yolk smoothness."""
Corpse Reviver,Cocktail,Alcoholic,"['Gin', 'Triple Sec', 'Lillet Blanc', 'Lemon Juice', 'Absinthe']","""Revive your senses with the Corpse Reviver, a potent mix of gin, triple sec, Lillet Blanc, and lemon juice, finished with a haunting whisper of absinthe."""
Chocolate Milk,Shot,Alcoholic,"['Chocolate liqueur', 'Milk', 'Amaretto']","""Indulge in our rich Chocolate Milk, a decadent blend of chocolate liqueur, creamy milk, and a hint of almond from Amaretto, creating a velvety smooth and indulgent cocktail."""
Clove Cocktail,Ordinary Drink,Alcoholic,"['Sweet Vermouth', 'Sloe gin', 'Wine']","""Indulge in the Clove Cocktail, a rich and fruity blend of Sweet Vermouth, Sloe gin, and Wine, with warm, spicy undertones that will leave you wanting more."""
Coffee Liqueur,Homemade Liqueur,Alcoholic,"['Coffee', 'Vanilla extract', 'Sugar', 'Vodka', 'Water']","""Rich and velvety, our Coffee Liqueur combines deep coffee flavors with hints of sweet vanilla, perfectly balanced with a touch of vodka, creating a smooth and indulgent treat."""
Coke and Drops,Soft Drink,Non alcoholic,"['Coca-Cola', 'Lemon juice']","""Revitalize with Coke and Drops, a refreshing twist on a classic, blending the iconic taste of Coca-Cola with a squeeze of zesty lemon juice."""
Chocolate Drink,Cocoa,Non alcoholic,"['Chocolate', 'Milk', 'Water']","""Indulge in our rich Chocolate Drink, a velvety blend of decadent chocolate, creamy milk, and refreshing water, perfect for satisfying your sweet tooth."""
Cranberry Punch,Punch / Party Drink,Non alcoholic,"['Cranberry juice', 'Sugar', 'Pineapple juice', 'Almond flavoring', 'Ginger ale']","""Indulge in our refreshing Cranberry Punch, a sweet and tangy blend of cranberry and pineapple juices, infused with a hint of almond and fizzed with ginger ale, perfect for any occasion."""
Derby,Ordinary Drink,Alcoholic,"['gin', 'Peach Bitters', 'Mint']","Derby: A refreshing twist on a classic, combining crisp gin, subtle Peach Bitters, and a hint of cool mint, perfect for a revitalizing sip."
Diesel,Beer,Alcoholic,"['Lager', 'Cider', 'Blackcurrant cordial']","""Diesel: A turbo-charged twist on traditional pub fare, blending crisp lager, sweet cider, and a hint of blackcurrant cordial for a bold, fruity kick."""
Daiquiri,Ordinary Drink,Alcoholic,"['Light rum', 'Lime', 'Powdered sugar']","""Indulge in the classic Daiquiri, a refreshing blend of light rum, zesty lime, and a touch of sweetness from powdered sugar, perfect for warm evenings and tropical getaways."""
Danbooka,Coffee / Tea,Alcoholic,"['Coffee', 'Everclear']","""Danbooka: A bold, high-octane shot of rich coffee infused with a hint of fiery Everclear, guaranteed to jolt your senses and ignite your night."""
Downshift,Punch / Party Drink,Alcoholic,"['Fruit punch', 'Sprite', 'Tequila', '151 proof rum']","""Downshift: A high-octane twist on a fruity classic, combining sweet fruit punch, crisp Sprite, and a kick of Tequila, supercharged with a shot of 151 proof rum."""
Dragonfly,Ordinary Drink,Alcoholic,"['Gin', 'Ginger ale', 'Lime']","""Dragonfly: A refreshing twist of gin, ginger ale, and a squeeze of lime, evoking the delicate dance of a summer breeze."""
Dry Martini,Cocktail,Alcoholic,"['Gin', 'Dry Vermouth', 'Olive']","""Sophisticated and crisp, the Dry Martini blends gin and a hint of dry vermouth, garnished with a single olive, perfect for a refined evening."""
Dry Rob Roy,Ordinary Drink,Alcoholic,"['Scotch', 'Dry Vermouth', 'Lemon peel']","""Indulge in the Dry Rob Roy, a sophisticated blend of smoky Scotch and crisp Dry Vermouth, garnished with a twist of citrusy lemon peel."""
Dirty Nipple,Shot,Alcoholic,"['Kahlua', 'Sambuca', 'Baileys irish cream']","""Indulge in the Dirty Nipple, a rich and decadent shot combining Kahlua, Sambuca, and Baileys Irish Cream, layered with a velvety texture and a deep, chocolatey flavor."""
Dirty Martini,Cocktail,Alcoholic,"['Vodka', 'Dry Vermouth', 'Olive Brine', 'Lemon', 'Olive']","""Indulge in the Dirty Martini, a sophisticated blend of vodka, dry vermouth, and a hint of salty olive brine, garnished with a lemon twist and a plump olive, perfect for those who like a little dirt in their martini."""
Darkwood Sling,Soft Drink,Alcoholic,"['Cherry Heering', 'Soda water', 'Orange juice', 'Ice']","""Indulge in the Darkwood Sling, a refreshing twist of Cherry Heering, orange juice, and soda water, served chilled over ice, perfect for a sophisticated evening."""
Dark and Stormy,Ordinary Drink,Alcoholic,"['Dark Rum', 'Ginger Beer']","""Unleash the tempest with our Dark and Stormy, a bold blend of rich Dark Rum and spicy Ginger Beer, evoking the thrill of a stormy night."""
Dark Caipirinha,Cocktail,Alcoholic,"['demerara Sugar', 'Lime', 'Cachaca']","""Indulge in the Dark Caipirinha, a rich Brazilian twist on the classic cocktail, blending demerara sugar, zesty lime, and smooth Cachaca for a bold, velvety nightcap."""
Duchamp's Punch,Cocktail,Alcoholic,"['Pisco', 'Lime Juice', 'Pineapple Syrup', 'St. Germain', 'Angostura Bitters', 'Pepper', 'Lavender']","Duchamp's Punch: A surrealist blend of Pisco, lime, and pineapple, elevated by floral St. Germain and subtle lavender, finished with a hint of spice and bitters."
Damned if you do,Shot,Alcoholic,"['Whiskey', 'Hot Damn']","""Damned if you do"": A devilish blend of smooth whiskey and spicy Hot Damn, igniting a fiery passion with every sip."
Dubonnet Cocktail,Ordinary Drink,Alcoholic,"['Dubonnet Rouge', 'Gin', 'Bitters', 'Lemon peel']","""Indulge in the Dubonnet Cocktail, a sophisticated blend of Dubonnet Rouge, crisp gin, and subtle bitters, garnished with a twist of lemon peel, evoking a classic French charm."""
Drinking Chocolate,Cocoa,Non alcoholic,"['Heavy cream', 'Milk', 'Cinnamon', 'Vanilla', 'Chocolate', 'Whipped cream']","""Indulge in our rich Drinking Chocolate, a velvety blend of heavy cream, milk, and decadent chocolate, infused with warm cinnamon and hint of vanilla, topped with a dollop of whipped cream."""
Death in the Afternoon,Cocktail,Alcoholic,"['Absinthe', 'Champagne']","""Indulge in the infamous Death in the Afternoon, a daring mix of Absinthe and Champagne that will leave you breathless. This potent cocktail is not for the faint of heart, as the bold, herbal bite of Absinthe mingles with the effervescent charm of Champagne, creating a truly deadly delight."""
Egg Cream,Other / Unknown,Non alcoholic,"['Chocolate syrup', 'Milk', 'Soda water']","Indulge in the creamy Egg Cream, a rich blend of chocolate syrup, velvety milk, and a splash of fizzy soda water, creating a delightful, non-alcoholic treat."
Egg Nog #4,Punch / Party Drink,Optional alcohol,"['Egg yolk', 'Sugar', 'Milk', 'Light rum', 'Bourbon', 'Vanilla extract', 'Salt', 'Whipping cream', 'Egg white', 'Sugar', 'Nutmeg']","Indulge in Egg Nog #4, a rich and creamy holiday treat. Velvety egg yolks, sweet sugar, and smooth milk blend with a hint of light rum and bourbon, finished with a touch of vanilla, a pinch of salt, and a fluffy whipped cream topping, sprinkled with warm nutmeg."
English Highball,Ordinary Drink,Alcoholic,"['Brandy', 'Gin', 'Sweet Vermouth', 'Carbonated water', 'Lemon peel']","""Indulge in the English Highball, a sophisticated blend of Brandy and Gin, subtly sweetened with Vermouth, topped with a refreshing fizz of carbonated water and garnished with a zesty lemon peel."""
Espresso Martini,Cocktail,Alcoholic,"['Vodka', 'Kahlua', 'Sugar syrup']","""Rich and bold, the Espresso Martini combines vodka, Kahlua, and a hint of sugar syrup, creating a decadent blend of coffee and cocktail perfection."""
Espresso Rumtini,Cocktail,Alcoholic,"['Rum', 'Vanilla syrup', 'Espresso', 'Coffee']","""Indulge in the Espresso Rumtini, a rich and bold blend of dark rum, velvety vanilla syrup, and intense espresso, perfectly balanced to awaken your senses."""
Egg Nog - Healthy,Punch / Party Drink,Optional alcohol,"['Egg', 'Sugar', 'Condensed milk', 'Milk', 'Vanilla extract', 'Rum', 'Nutmeg']","Indulge in our Healthy Egg Nog, a creamy blend of eggs, sugar, and condensed milk, infused with vanilla extract and a hint of nutmeg. Optional rum adds a touch of sophistication, making this a delightful treat for the holidays."
English Rose Cocktail,Ordinary Drink,Alcoholic,"['Apricot brandy', 'Gin', 'Dry Vermouth', 'Grenadine', 'Lemon juice', 'Cherry']","Indulge in the English Rose Cocktail, a delicate blend of apricot brandy, gin, and dry vermouth, subtly sweetened with grenadine and a hint of lemon, garnished with a luscious cherry."
Elderflower Caipirinha,Cocktail,Alcoholic,"['Cachaca', 'Lime', 'Elderflower cordial']","Indulge in the Elderflower Caipirinha, a refreshing twist on the classic Brazilian cocktail, blending crisp Cachaca, zesty lime, and subtle elderflower notes, creating a sweet and tangy symphony."
Egg-Nog - Classic Cooked,Punch / Party Drink,Optional alcohol,"['Egg', 'Sugar', 'Salt', 'Milk', 'Vanilla extract']","""Indulge in our rich and creamy Egg-Nog - Classic Cooked, a velvety blend of eggs, sugar, and milk, infused with a hint of vanilla and a touch of salt, perfect with or without a splash of your favorite spirit."""
Empellón Cocina's Fat-Washed Mezcal,Cocktail,Alcoholic,"['Mezcal', 'Chocolate liqueur', 'Coffee liqueur']","""Indulge in the rich, smoky flavors of Empellón Cocina's Fat-Washed Mezcal, where velvety chocolate and deep coffee notes harmonize with the bold, spicy essence of mezcal."""
Frosé,Cocktail,Alcoholic,"['Rose', 'Sugar', 'Strawberries', 'Lemon Juice']","Indulge in Frosé, a refreshing blend of rose wine, sweet strawberries, and a hint of lemon, frozen to perfection with a touch of sugar."
Frappé,Coffee / Tea,Non alcoholic,"['Coffee', 'Milk', 'Sugar']","""Indulge in our refreshing Frappé, a chilled blend of rich coffee, creamy milk, and a touch of sweetness, perfect for a cool pick-me-up."""
Foxy Lady,Ordinary Drink,Alcoholic,"['Amaretto', 'Creme de Cacao', 'Light cream']","Indulge in the Foxy Lady, a sultry blend of Amaretto, rich Creme de Cacao, and velvety light cream, crafting a decadent and alluring cocktail that will leave you spellbound."
French 75,Ordinary Drink,Alcoholic,"['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']","""Indulge in the French 75, a classic cocktail blending gin, sugar, and lemon juice, topped with champagne and garnished with a delicate orange twist and maraschino cherry, creating a refreshing and elegant sip."""
Figgy Thyme,Cocktail,Alcoholic,"['Vodka', 'Honey', 'Figs', 'Thyme', 'Angostura Bitters', 'Tonic Water']","Indulge in Figgy Thyme, a sweet and savory blend of vodka, honey, and figs, subtly balanced with thyme and a hint of bitters, topped with tonic water for a refreshing twist."
Frisco Sour,Ordinary Drink,Alcoholic,"['Blended whiskey', 'Benedictine', 'Lemon', 'Lime', 'Lemon', 'Lime']","Frisco Sour: A tangy twist on the classic whiskey sour, blending smooth whiskey with Benedictine and a zesty mix of lemon and lime, creating a refreshing and citrusy cocktail."
Fruit Shake,Other / Unknown,Non alcoholic,"['Yoghurt', 'Banana', 'Orange juice', 'Fruit', 'Ice']","""Indulge in our refreshing Fruit Shake, a blend of creamy yoghurt, ripe banana, and zesty orange juice, mixed with a medley of juicy fruits and ice, creating a cool and revitalizing treat."""
Fruit Cooler,Other / Unknown,Non alcoholic,"['Apple juice', 'Strawberries', 'Sugar', 'Lemon', 'Apple', 'Soda water', 'Ice']","""Refresh with our Fruit Cooler, a sweet blend of apple juice, fresh strawberries, and a hint of lemon, topped with fizzy soda water and served over ice."""
